Contribution Date,Birthdate,Residency Status,SPR Start Date,Employee Contribution Type,Employer Contribution Type,Ordinary Wages,Additional Wages,Employee CPF$,Employer CPF$,Total CPF$
2014-09-01,1994-04-04,citizen,,,,588,0,52,95,147
2014-09-01,1992-11-25,citizen,,,,727.5,0,136,117,253
2014-09-01,1992-09-23,citizen,,,,1002,0,200,161,361
2014-09-01,1990-02-18,citizen,,,,395.5,0,0,63,63
2014-09-01,1995-02-25,permanent_resident,2010-01-01,,,286,0,0,46,46
2014-09-01,1993-09-24,citizen,,,,957.25,0,191,154,345
2014-09-01,1989-01-20,citizen,,,,1720,0,344,275,619
2014-09-01,1994-01-03,citizen,,,,1230,0,246,197,443
2014-09-01,1995-08-13,citizen,,,,1440,0,288,230,518
2014-09-01,1993-04-04,citizen,,,,900,0,180,144,324
2014-09-01,1990-10-05,citizen,,,,626.25,0,75,101,176
2014-09-01,1989-07-28,citizen,,,,1278.75,0,255,205,460
2014-09-01,1997-11-19,citizen,,,,1192.5,0,238,191,429
2014-09-01,1989-10-22,citizen,,,,645,0,87,103,190
2014-09-01,1997-11-21,citizen,,,,262.5,0,0,42,42
2014-09-01,1997-12-11,citizen,,,,150,0,0,24,24
2014-09-01,1991-06-23,citizen,,,,1416.63,0,283,227,510
2014-09-01,1994-03-10,citizen,,,,1273.13,0,254,204,458
2014-09-01,1989-09-09,citizen,,,,350,0,0,56,56
2014-09-01,1991-01-10,citizen,,,,847,0,169,136,305
2014-09-01,1994-03-09,citizen,,,,220.5,0,0,35,35
2014-09-01,1995-02-06,citizen,,,,780,0,156,125,281
2014-09-01,1988-07-02,citizen,,,,256.37,0,0,41,41
2014-09-01,1996-08-21,citizen,,,,714,0,128,115,243
2014-09-01,1989-10-06,citizen,,,,49,0,0,0,0
2014-09-01,1997-10-17,citizen,,,,185.5,0,0,30,30
2014-09-01,1990-06-13,citizen,,,,385,0,0,62,62
2014-09-01,1992-01-02,citizen,,,,213.5,0,0,34,34
2014-09-01,1994-08-11,citizen,,,,213.5,0,0,34,34
2014-09-01,1997-11-18,citizen,,,,210,0,0,34,34
2014-09-01,1994-11-20,citizen,,,,624,0,74,100,174
2014-09-01,1992-10-26,citizen,,,,2572.5,0,514,412,926
2014-09-01,1991-12-24,citizen,,,,1417.5,0.09,283,227,510
2014-09-01,1992-12-31,citizen,,,,1500.25,0,300,240,540
2014-09-01,1989-01-18,citizen,,,,1323.75,0,264,213,477
2014-09-01,1978-11-11,citizen,,,,1293.75,0,258,208,466
2014-09-01,1994-07-09,citizen,,,,1350,0,270,216,486
2014-09-01,1988-06-08,citizen,,,,1372.5,0,274,220,494
2014-09-01,1991-11-18,citizen,,,,1042.5,0,208,167,375
2014-09-01,1994-07-19,permanent_resident,2010-01-01,,,1380,0,276,221,497
2014-09-01,1993-08-21,citizen,,,,660,0,96,106,202
2014-09-01,1990-01-24,citizen,,,,1368.75,0,273,220,493
2014-09-01,1995-04-14,citizen,,,,573.75,0,44,92,136
2014-09-01,1989-09-20,citizen,,,,1036.88,0,207,166,373
2014-09-01,1991-07-20,citizen,,,,948.75,0,189,153,342
2014-09-01,1996-12-06,citizen,,,,633.75,0,80,102,182
2014-09-01,1994-08-10,citizen,,,,1211.25,0,242,194,436
2014-09-01,1994-10-17,citizen,,,,566.25,0,39,91,130
2014-09-01,1994-07-12,citizen,,,,191.25,0,0,31,31
2014-09-01,1995-01-15,citizen,,,,152.25,0,0,24,24
2014-09-01,1996-06-15,citizen,,,,207,0,0,33,33
2014-09-01,1979-08-03,permanent_resident,2010-01-01,,,1278.38,0,255,205,460
2014-09-01,1996-04-12,citizen,,,,624,0,74,100,174
2014-09-01,1995-05-25,citizen,,,,344,0,0,55,55
2014-09-01,1995-10-04,citizen,,,,394,0,0,63,63
2014-09-01,1995-12-21,citizen,,,,597,0,58,96,154
2014-09-01,1995-03-22,citizen,,,,311.5,0,0,50,50
2014-09-01,1996-08-20,citizen,,,,518.25,0,10,84,94
2014-09-01,1990-02-12,citizen,,,,127.5,0,0,20,20
2014-09-01,1990-08-08,citizen,,,,1286.25,0,257,206,463
2014-09-01,1987-12-21,citizen,,,,265.5,0,0,42,42
2014-09-01,1990-07-10,citizen,,,,265.5,0,0,42,42
2014-09-01,1990-07-11,citizen,,,,211.5,0,0,34,34
2014-09-01,1996-03-25,citizen,,,,218.25,0,0,35,35
2014-09-01,1993-03-22,citizen,,,,220.5,0,0,35,35
2014-09-01,1989-08-01,citizen,,,,211.5,0,0,34,34
2014-09-01,1996-05-24,citizen,,,,211.5,0,0,34,34
2014-09-01,1996-01-22,citizen,,,,211.5,0,0,34,34
2014-09-01,1996-01-26,citizen,,,,211.5,0,0,34,34
2014-09-01,1988-07-09,citizen,,,,272.25,0,0,44,44
2014-09-01,1992-11-01,citizen,,,,220.5,0,0,35,35
2014-09-01,1995-07-31,citizen,,,,211.5,0,0,34,34
2014-09-01,1995-12-27,citizen,,,,211.5,0,0,34,34
2014-09-01,1995-07-06,citizen,,,,211.5,0,0,34,34
2014-09-01,1994-09-26,citizen,,,,211.5,0,0,34,34
2014-09-01,1997-10-04,citizen,,,,682.5,0,109,110,219
2014-09-01,1989-01-12,citizen,,,,1312.5,0,262,211,473
2014-09-01,1993-04-01,citizen,,,,973.13,0,194,156,350
2014-09-01,1996-02-09,citizen,,,,437.5,0,0,70,70
2014-09-01,1995-10-09,citizen,,,,532,0,19,85,104
2014-09-01,1991-07-27,citizen,,,,2920.5,0,584,467,1051
2014-09-01,1994-11-02,citizen,,,,3002,0,600,481,1081
2014-09-01,1992-03-12,citizen,,,,1040,0,208,166,374
2014-09-01,1993-07-18,citizen,,,,98,0,0,16,16
2014-09-01,1994-07-04,citizen,,,,1036,0,207,166,373
2014-09-01,1989-12-01,citizen,,,,946.5,0,189,152,341
2014-09-01,1990-03-31,citizen,,,,147,0,0,24,24
2014-09-01,1994-12-23,citizen,,,,808,0,161,130,291
2014-09-01,1994-12-13,citizen,,,,1252.5,0,250,201,451
2014-09-01,1994-01-04,citizen,,,,756.5,0,151,121,272
2014-09-01,1995-10-01,citizen,,,,877.5,0,175,141,316
2014-09-01,1993-08-27,citizen,,,,768,0,153,123,276
2014-09-01,1993-09-24,citizen,,,,303.5,0,0,49,49
2014-09-01,1994-10-10,citizen,,,,147,0,0,24,24
2014-09-01,1993-06-28,citizen,,,,681,0,108,110,218
2014-09-01,1994-09-03,citizen,,,,147,0,0,24,24
2014-09-01,1993-12-08,citizen,,,,1109,0,221,178,399
2014-09-01,1990-10-19,citizen,,,,4459.5,0,891,714,1605
2014-09-01,1994-10-14,citizen,,,,692,0,115,111,226
2014-09-01,1991-11-05,citizen,,,,2055.5,0,411,329,740
2014-09-01,1989-02-23,citizen,,,,728,0,136,117,253
2014-09-01,1993-12-09,citizen,,,,2448.5,0,489,392,881
2014-09-01,1991-04-10,citizen,,,,680,0,108,109,217
2014-09-01,1988-01-21,citizen,,,,316.5,0,0,51,51
2014-09-01,1994-07-06,citizen,,,,616,0,69,99,168
2014-09-01,1988-05-27,citizen,,,,224,0,0,36,36
2014-09-01,1988-07-04,citizen,,,,434,0,0,69,69
2014-09-01,1996-08-08,citizen,,,,385,0,0,62,62
2014-09-01,1995-02-04,citizen,,,,515,0,9,82,91
2014-09-01,1996-05-25,citizen,,,,329,0,0,53,53
2014-09-01,1995-09-22,citizen,,,,310.5,0,0,50,50
2014-09-01,1994-06-21,citizen,,,,205,0,0,33,33
2014-09-01,1994-07-11,citizen,,,,1508.5,0,301,242,543
2014-09-01,1996-08-19,citizen,,,,1352.5,0,270,217,487
2014-09-01,1991-12-08,permanent_resident,2010-01-01,,,287,0,0,46,46
2014-09-01,1996-02-15,citizen,,,,1652,0,330,265,595
2014-09-01,1995-05-07,citizen,,,,248.5,0,0,40,40
2014-09-01,1994-03-28,citizen,,,,812,0,162,130,292
2014-09-01,1995-01-20,citizen,,,,862.75,0,172,139,311
2014-09-01,1996-08-14,citizen,,,,819,0,163,132,295
2014-09-01,1996-05-11,citizen,,,,952,0,190,153,343
2014-09-01,1990-10-02,citizen,,,,796.25,0,159,128,287
2014-09-01,1996-05-24,citizen,,,,974.75,0,194,157,351
2014-09-01,1993-06-05,citizen,,,,906.5,0,181,145,326
2014-09-01,1996-03-14,citizen,,,,1086.75,0,217,174,391
2014-09-01,1993-02-16,citizen,,,,894.25,0,178,144,322
2014-09-01,1996-07-18,citizen,,,,1004.5,0,200,162,362
2014-09-01,1996-08-16,citizen,,,,714,0,128,115,243
2014-09-01,1996-04-16,citizen,,,,777,0,155,125,280
2014-09-01,1990-12-28,citizen,,,,827.75,0,165,133,298
2014-09-01,1989-03-23,citizen,,,,1094.63,0,218,176,394
2014-09-01,1992-02-12,citizen,,,,925.75,0,185,148,333
2014-09-01,1993-06-10,citizen,,,,1136,0,227,182,409
2014-09-01,1996-06-08,citizen,,,,658,0,94,106,200
2014-09-01,1994-09-12,citizen,,,,770,0,154,123,277
2014-09-01,1993-09-12,citizen,,,,412,0,0,66,66
2014-09-01,1995-04-09,citizen,,,,1560,0,312,250,562
2014-09-01,1994-11-05,citizen,,,,455,0,0,73,73
2014-09-01,1996-03-15,citizen,,,,742,0,145,119,264
2014-09-01,1994-09-29,citizen,,,,796,0,159,128,287
2014-09-01,1986-12-12,citizen,,,,1657.5,0,331,266,597
2014-09-01,1992-01-23,citizen,,,,821,0,164,132,296
2014-09-01,1993-11-20,citizen,,,,399,0,0,64,64
2014-09-01,1992-06-15,citizen,,,,1310,0,262,210,472
2014-09-01,1994-09-16,citizen,,,,71.5,0,0,11,11
2014-09-01,1994-09-16,citizen,,,,112.5,0,0,18,18
2014-09-01,1991-01-16,citizen,,,,4160,0,832,666,1498
2014-09-01,1994-07-16,citizen,,,,653,0,91,105,196
2014-09-01,1992-05-27,citizen,,,,480,0,0,77,77
2014-09-01,1993-10-11,citizen,,,,408,0,0,65,65
2014-09-01,1994-03-20,citizen,,,,1060,0,212,170,382
2014-09-01,1992-11-01,citizen,,,,441,0,0,71,71
2014-09-01,1991-12-31,citizen,,,,1105,0,221,177,398
2014-09-01,1991-06-23,citizen,,,,603,0,61,97,158
2014-09-01,1991-08-04,citizen,,,,747,0,148,120,268
2014-09-01,1990-06-09,citizen,,,,791,0,158,127,285
2014-09-01,1994-11-06,citizen,,,,577.25,0,46,93,139
2014-09-01,1994-05-11,citizen,,,,863,0,172,139,311
2014-09-01,1989-06-19,citizen,,,,935,0,187,150,337
2014-09-01,1988-09-18,citizen,,,,2099,0,419,337,756
2014-09-01,1992-09-27,citizen,,,,315,0,0,50,50
2014-09-01,1994-01-01,citizen,,,,1292,0,258,207,465
2014-09-01,1994-09-08,citizen,,,,967.5,0,193,155,348
2014-09-01,1992-04-02,citizen,,,,844.5,0,168,136,304
2014-09-01,1993-10-11,citizen,,,,294,0,0,47,47
2014-09-01,1975-12-19,citizen,,,,1854.55,0,370,298,668
2014-09-01,1990-02-07,citizen,,,,1588.5,0,317,255,572
2014-09-01,1973-11-06,citizen,,,,1235.5,0,247,198,445
2014-09-01,1988-03-29,citizen,,,,490.5,0,0,78,78
2014-09-01,1958-08-26,citizen,,,,325.5,0,0,34,34
2014-09-01,1992-09-16,citizen,,,,868,0,173,139,312
2014-09-01,1995-09-30,permanent_resident,2010-01-01,,,1083.75,0,216,174,390
2014-09-01,1992-09-13,citizen,,,,1546,0,309,248,557
2014-09-01,1992-06-12,citizen,,,,112.5,0,0,18,18
2014-09-01,1995-06-02,citizen,,,,42,0,0,0,0
2014-09-01,1992-11-06,citizen,,,,1830,0,366,293,659
2014-09-01,1990-08-09,citizen,,,,832,0,166,134,300
2014-09-01,1978-01-07,citizen,,,,2718,0,543,435,978
2014-09-01,1987-06-11,citizen,,,,2790,0,558,446,1004
2014-09-01,1990-08-01,citizen,,,,0,598.5,59,96,155
2014-09-01,1970-02-13,citizen,,,,2255.15,0,451,361,812
2014-09-01,1977-06-08,citizen,,,,934.5,0,186,150,336
2014-09-01,1996-09-16,permanent_resident,2010-01-01,,,1729.88,0,345,278,623
2014-09-01,1978-04-16,citizen,,,,1088.5,0,217,175,392
2014-09-01,1994-01-25,citizen,,,,387.63,0,0,62,62
2014-09-01,1996-06-26,citizen,,,,387.63,0,0,62,62
2014-09-01,1996-07-11,citizen,,,,514.5,0,8,83,91
2014-09-01,1993-10-10,citizen,,,,908.25,0,181,146,327
2014-09-01,1991-12-12,citizen,,,,336,0,0,54,54
2014-09-01,1995-03-16,citizen,,,,211.5,0,0,34,34
2014-09-01,1996-03-31,citizen,,,,630,0,78,101,179
2014-09-01,1994-02-15,citizen,,,,127.5,0,0,20,20
2014-09-01,1994-07-09,citizen,,,,448,0,0,72,72
2014-09-01,1981-08-19,citizen,,,,534,0,20,86,106
2014-09-01,1972-03-29,citizen,,,,357.5,0,0,57,57
2014-09-01,1997-05-08,citizen,,,,602,0,61,97,158
2014-09-01,1996-10-21,citizen,,,,423.5,0,0,68,68
2014-09-01,1994-06-17,citizen,,,,346.5,0,0,55,55
2014-09-01,1991-11-15,citizen,,,,70,0,0,11,11
2014-09-01,1996-09-06,citizen,,,,799.75,0,159,129,288
2014-09-01,1997-01-21,citizen,,,,752.5,0,150,121,271
2014-09-01,1992-05-19,citizen,,,,574,0,44,92,136
2014-09-01,1996-01-01,citizen,,,,253.75,0,0,41,41
2014-09-01,1996-03-02,citizen,,,,1624,0,324,261,585
2014-09-01,1993-03-29,citizen,,,,192.5,0,0,31,31
2014-09-01,1996-02-09,citizen,,,,770,0,154,123,277
2014-09-01,1995-12-10,citizen,,,,698.25,0,118,113,231
2014-09-01,1994-06-03,citizen,,,,588,0,52,95,147
2014-09-01,1995-02-02,citizen,,,,992.25,0,198,159,357
2014-09-01,1995-09-28,permanent_resident,2010-01-01,,,486.5,0,0,78,78
2014-09-01,1996-08-20,citizen,,,,633.5,0,80,101,181
2014-09-01,1998-02-22,citizen,,,,844.38,0,168,136,304
2014-09-01,1996-08-29,citizen,,,,563.5,0,38,90,128
2014-09-01,1981-08-09,permanent_resident,2013-06-03,graduated,graduated,329,0,0,30,30
2014-09-01,1994-12-20,citizen,,,,49,0,0,0,0
2014-09-01,1950-01-14,citizen,,,,1295,0,97,91,188
2014-09-01,1958-09-25,citizen,,,,1288,0,167,136,303
2014-09-01,1949-12-28,citizen,,,,634.2,0,30,45,75
2014-09-01,1965-10-16,citizen,,,,1120,0,224,179,403
2014-09-01,1959-10-28,citizen,,,,1288,0,238,181,419
2014-09-01,1949-03-28,citizen,,,,1334.5,0,66,87,153
2014-09-01,1949-04-06,citizen,,,,1329.5,0,66,87,153
2014-09-01,1950-05-29,citizen,,,,1335.5,0,100,94,194
2014-09-01,1951-10-27,citizen,,,,1036,0,77,73,150
2014-09-01,1966-06-05,citizen,,,,1120,0,224,179,403
2014-09-01,1946-08-16,citizen,,,,1344.5,0,67,88,155
2014-09-01,1950-09-06,citizen,,,,1344.5,0,100,95,195
2014-09-01,1958-11-05,citizen,,,,1288,0,167,136,303
2014-09-01,1952-12-18,citizen,,,,1008,0,75,71,146
2014-09-01,1970-01-21,citizen,,,,766.5,0,153,123,276
2014-09-01,1958-06-14,citizen,,,,1204,0,156,127,283
2014-09-01,1949-07-14,citizen,,,,434,0,0,28,28
2014-09-01,1972-12-07,citizen,,,,1288,0,257,207,464
2014-09-01,1951-09-03,citizen,,,,1288,0,96,91,187
2014-09-01,1952-03-25,citizen,,,,1288,0,96,91,187
2014-09-01,1950-08-18,citizen,,,,1288,0,96,91,187
2014-09-01,1949-10-24,citizen,,,,1288,0,96,91,187
2014-09-01,1946-09-08,citizen,,,,1344.5,0,67,88,155
2014-09-01,1953-03-19,citizen,,,,1288,0,96,91,187
2014-09-01,1951-07-25,citizen,,,,1683,0,126,118,244
2014-09-01,1948-10-21,citizen,,,,1288,0,64,84,148
2014-09-01,1992-05-14,citizen,,,,2210,0,442,354,796
2014-09-01,1988-06-10,citizen,,,,2410,0,482,386,868
2014-09-01,1985-10-25,citizen,,,,2894,0,578,464,1042
2014-09-01,1959-09-06,citizen,,,,784,0,145,110,255
2014-09-01,1949-07-19,citizen,,,,882,0,44,57,101
2014-09-01,1952-10-07,citizen,,,,1288,0,96,91,187
2014-09-01,1991-07-02,citizen,,,,1600,0,320,256,576
2014-09-01,1990-06-30,citizen,,,,2300,0,460,368,828
2014-09-01,1960-06-13,citizen,,,,1288,0,238,181,419
2014-09-01,1992-10-31,citizen,,,,2100,0,420,336,756
2014-09-01,1993-08-01,citizen,,,,2150,0,430,344,774
2014-09-01,1958-06-08,citizen,,,,1288,0,167,136,303
2014-09-01,1991-11-21,citizen,,,,2100,0,420,336,756
2014-09-01,1992-08-14,citizen,,,,508,0,4,82,86
2014-09-01,1993-08-09,citizen,,,,112.5,0,0,18,18
2014-09-01,1996-04-10,citizen,,,,168,0,0,27,27
2014-09-01,1990-08-03,citizen,,,,960,0,192,154,346
2014-09-01,1997-09-29,citizen,,,,320.25,0,0,51,51
2014-09-01,1997-01-23,citizen,,,,1053.5,0,210,169,379
2014-09-01,1995-03-20,citizen,,,,807.5,0,161,130,291
2014-09-01,1995-10-21,citizen,,,,735.5,0,141,118,259
2014-09-01,1994-03-18,citizen,,,,165.75,0,0,27,27
2014-09-01,1993-08-20,citizen,,,,442,0,0,71,71
2014-09-01,1995-06-24,citizen,,,,202,0,0,32,32
2014-09-01,1991-07-23,citizen,,,,799,0,159,129,288
2014-09-01,1992-08-11,citizen,,,,1416,0,283,227,510
2014-09-01,1996-10-10,citizen,,,,198,0,0,32,32
2014-09-01,1992-02-14,citizen,,,,204,0,0,33,33
2014-09-01,1994-08-12,citizen,,,,127.5,0,0,20,20
2014-09-01,1997-03-24,citizen,,,,204,0,0,33,33
2014-09-01,1990-06-28,citizen,,,,488.75,0,0,78,78
2014-09-01,1993-09-09,citizen,,,,119,0,0,19,19
2014-09-01,1994-08-29,citizen,,,,68,0,0,11,11
2014-09-01,1991-02-27,citizen,,,,493,0,0,79,79
2014-09-01,1992-05-22,citizen,,,,635.63,0,81,102,183
2014-09-01,1993-04-13,citizen,,,,1020,0,204,163,367
2014-09-01,1992-08-14,citizen,,,,246.5,0,0,39,39
2014-09-01,1994-02-09,citizen,,,,365.5,0,0,58,58
2014-09-01,1994-10-16,citizen,,,,761,0,152,122,274
2014-09-01,1992-12-14,citizen,,,,1105,0,221,177,398
2014-09-01,1993-12-17,citizen,,,,612,0,67,98,165
2014-09-01,1988-06-27,citizen,,,,540,0,24,86,110
2014-09-01,1992-03-10,citizen,,,,1025.5,0,205,164,369
2014-09-01,1994-03-01,citizen,,,,938.5,0,187,151,338
2014-09-01,1993-09-09,citizen,,,,707.88,0,124,114,238
2014-09-01,1993-08-16,citizen,,,,771.63,0,154,124,278
2014-09-01,1994-09-23,citizen,,,,1111.38,0,222,178,400
2014-09-01,1983-04-01,citizen,,,,59.5,0,0,10,10
2014-09-01,1995-07-25,citizen,,,,888.5,0,177,143,320
2014-09-01,1996-05-01,citizen,,,,1260.63,196.13,291,233,524
2014-09-01,1994-01-12,citizen,,,,1019.5,0,203,164,367
2014-09-01,1994-03-24,citizen,,,,506.5,0,3,82,85
2014-09-01,1995-06-16,citizen,,,,187.5,0,0,30,30
2014-09-01,1988-10-08,citizen,,,,1216,0,243,195,438
2014-09-01,1991-04-11,citizen,,,,2219.77,0,443,356,799
2014-09-01,1996-01-09,citizen,,,,1020,0,204,163,367
2014-09-01,1991-10-16,citizen,,,,2800,129.23,585,470,1055
2014-09-01,1994-08-01,citizen,,,,960,0,192,154,346
2014-09-01,1994-02-03,citizen,,,,1359,0,271,218,489
2014-09-01,1994-12-23,citizen,,,,1336,0,267,214,481
2014-09-01,1990-07-26,citizen,,,,382,0,0,61,61
2014-09-01,1994-04-23,citizen,,,,24,0,0,0,0
2014-09-01,1970-01-09,citizen,,,,52.5,0,0,8,8
2014-09-01,1993-10-29,citizen,,,,1008,0,201,162,363
2014-09-01,1974-11-16,citizen,,,,1609.13,0,321,258,579
2014-09-01,1994-03-04,citizen,,,,987,0,197,158,355
2014-09-01,1977-01-25,citizen,,,,952,0,190,153,343
2014-09-01,1995-03-15,citizen,,,,672,0,103,108,211
2014-09-01,1992-12-31,permanent_resident,2010-01-01,,,574,0,44,92,136
2014-09-01,1996-01-30,citizen,,,,801.5,0,160,129,289
2014-09-01,1996-10-02,citizen,,,,784,0,156,126,282
2014-09-01,1997-05-31,citizen,,,,577.5,0,46,93,139
2014-09-01,1996-07-13,citizen,,,,371,0,0,59,59
2014-09-01,1995-10-13,citizen,,,,765.6,0,153,123,276
2014-09-01,1993-11-08,citizen,,,,10,0,0,0,0
2014-09-01,1984-07-10,citizen,,,,5.2,0,0,0,0
2014-09-01,1992-11-26,citizen,,,,1138.85,0,227,183,410
2014-09-01,1947-11-20,citizen,,,,1300,0,65,85,150
2014-09-01,1962-01-09,citizen,,,,2220,0,410,312,722
2014-09-01,1942-09-10,citizen,,,,2512.5,0,125,164,289
2014-09-01,1961-02-03,citizen,,,,2049.6,0,379,287,666
2014-09-01,1970-08-31,citizen,,,,2220,0,444,355,799
2014-09-01,1955-12-29,citizen,,,,2374.5,0,308,250,558
2014-09-01,1973-10-23,citizen,,,,2088,0,417,335,752
2014-09-01,1979-01-23,citizen,,,,1635,0,327,262,589
2014-09-01,1942-08-14,citizen,,,,1864.5,0,93,121,214
2014-09-01,1985-06-17,citizen,,,,1057.5,0,211,170,381
2014-09-01,1964-02-29,citizen,,,,1650,0,305,231,536
2014-09-01,1988-04-05,citizen,,,,810,0,162,130,292
2014-09-01,1947-01-30,citizen,,,,1850,0,92,121,213
2014-09-01,1952-08-04,citizen,,,,2870,0,215,201,416
2014-09-01,1958-07-20,citizen,,,,2040,0,265,214,479
2014-09-01,1948-06-15,citizen,,,,930,0,46,61,107
2014-09-01,1965-06-02,citizen,,,,2150,0,430,344,774
2014-09-01,1948-07-01,citizen,,,,315,0,0,20,20
2014-09-01,1946-10-09,citizen,,,,2120,0,106,138,244
2014-09-01,1948-02-29,citizen,,,,1850,0,92,121,213
2014-09-01,1948-03-23,citizen,,,,1564,0,78,102,180
2014-09-01,1943-12-04,citizen,,,,1412,0,70,92,162
2014-09-01,1940-08-07,citizen,,,,608,0,16,40,56
2014-09-01,1965-10-29,citizen,,,,1314,0,262,211,473
2014-09-01,1943-06-27,citizen,,,,1246,0,62,81,143
2014-09-01,1970-03-29,citizen,,,,958,0,191,154,345
